epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,120.964,1.07353,2.48634,1.03315,1.28785,0.59843,0.56604,0.55274,0.36552,0.23191,0.13208,0.05672,0.02871,1.36898,5.58453,1.58124,1.69649,0.0014852,0.0014852,0.0014852
54,123.412,1.0294,2.52372,1.00625,1.27886,0.59843,0.56604,0.55274,0.36552,0.23191,0.13208,0.05672,0.02871,1.36898,5.58453,1.58124,1.69649,0.0014753,0.0014753,0.0014753
55,125.388,0.98812,2.24007,0.90592,1.21413,0.6887,0.60377,0.60797,0.38595,0.44834,0.28302,0.19518,0.05984,1.30962,5.23449,1.35395,1.65675,0.0014654,0.0014654,0.0014654
56,129.369,1.12832,2.61504,1.02211,1.36473,0.6887,0.60377,0.60797,0.38595,0.44834,0.28302,0.19518,0.05984,1.30962,5.23449,1.35395,1.65675,0.0014555,0.0014555,0.0014555
57,132.347,1.0433,2.41684,0.9818,1.27937,0.69172,0.79245,0.81281,0.51566,0.44484,0.50943,0.39769,0.15349,1.15229,4.83076,1.4933,1.54079,0.0014456,0.0014456,0.0014456
58,134.81,0.96172,2.29825,0.94033,1.22668,0.69172,0.79245,0.81281,0.51566,0.44484,0.50943,0.39769,0.15349,1.15229,4.83076,1.4933,1.54079,0.0014357,0.0014357,0.0014357
59,137.334,1.08945,2.43273,0.97605,1.31923,0.69172,0.79245,0.81281,0.51566,0.44484,0.50943,0.39769,0.15349,1.15229,4.83076,1.4933,1.54079,0.0014258,0.0014258,0.0014258
60,139.42,0.84277,2.17188,0.79833,1.15688,0.73922,0.74884,0.80322,0.47973,0.47501,0.45283,0.31053,0.10002,1.14001,4.93986,2.54293,1.55887,0.0014159,0.0014159,0.0014159
61,141.522,0.85414,2.06781,0.81866,1.1425,0.73922,0.74884,0.80322,0.47973,0.47501,0.45283,0.31053,0.10002,1.14001,4.93986,2.54293,1.55887,0.001406,0.001406,0.001406
62,143.462,1.11795,2.57053,1.16144,1.44205,0.73922,0.74884,0.80322,0.47973,0.47501,0.45283,0.31053,0.10002,1.14001,4.93986,2.54293,1.55887,0.0013961,0.0013961,0.0013961
63,145.426,0.88859,2.11643,0.87623,1.20752,0.57837,0.71698,0.63771,0.40429,0.40616,0.45283,0.25271,0.06381,1.17931,4.21934,2.2915,1.58127,0.0013862,0.0013862,0.0013862
64,147.93,0.93974,2.5163,0.91694,1.25377,0.57837,0.71698,0.63771,0.40429,0.40616,0.45283,0.25271,0.06381,1.17931,4.21934,2.2915,1.58127,0.0013763,0.0013763,0.0013763
65,149.833,1.0975,2.14928,0.98497,1.27653,0.77682,0.73585,0.79471,0.52796,0.35315,0.37736,0.22027,0.07491,1.08671,4.5893,1.23833,1.48222,0.0013664,0.0013664,0.0013664
66,151.704,1.00212,2.50326,0.91886,1.2511,0.77682,0.73585,0.79471,0.52796,0.35315,0.37736,0.22027,0.07491,1.08671,4.5893,1.23833,1.48222,0.0013565,0.0013565,0.0013565
67,153.594,0.92955,2.15146,0.85545,1.18478,0.77682,0.73585,0.79471,0.52796,0.35315,0.37736,0.22027,0.07491,1.08671,4.5893,1.23833,1.48222,0.0013466,0.0013466,0.0013466
